# x y z horizontalRadius verticalRadius
64.524 -76.92 0 3.80111 5.70167
1.5981 -75.902 1.51713 3.50691 5.26036
100.424 -74.676 1.23081 3.79356 5.69034
-179.223 -83.096 0 4.90137 7.35206
32.3068 -82.493 0.956157 3.75177 5.62766
356.819 -72.866 0.820652 2.53407 3.80111
118.184 -73.106 0.486082 4.36623 6.54934
193.166 -70.911 0.122762 0.927376 1.39106
-47.3549 -72.384 0 7.95961 11.9394
-82.3641 -68.922 0 6.68526 10.0279
-24.2478 -68.021 0.639255 5.56168 8.34252
-200.569 -67.194 0.328831 4.66462 6.99693
234.957 -65.554 1.13316 4.1852 6.2778
-65.0609 -64.048 0 5.75671 8.63507
264.488 -133.761 0 0.846575 1.26986
268.946 -136.654 0 0.89593 1.3439
-159.027 -135.531 1.48771 1.50491 2.25736
345.402 -135.09 1.93036 2.86338 4.29506
-106.659 -133.334 1.1069 3.15399 4.73099
-60.1492 -143.105 0 5.19662 7.79493
-188.679 -139.715 1.6693 3.30923 4.96385
228.118 -140.776 1.0791 4.28002 6.42003
-164.091 -136.281 1.96407 2.74583 4.11874
-144.887 -138.44 0 5.43129 8.14694
153.086 -138.84 0.116192 3.09897 4.64846
97.8542 -138.807 0.820606 1.3859 2.07885
-84.9267 -137.786 2.00394 3.9852 5.9778
67.4849 -137.175 0.194749 5.70418 8.55627
332.461 -136.53 0 2.55099 3.82648
318.087 -135.972 1.10476 3.79734 5.69601
254.123 -133.91 0 5.68656 8.52984
-221.852 -131.783 0.422472 5.13558 7.70337
-153.51 -132.83 0.366826 3.91261 5.86891
-160.43 -129.85 0.774039 1.23263 1.84895
-50.6556 -130.641 0.0408321 5.21589 7.82384
330.124 -130.598 0.545586 2.25894 3.38841
267.059 -130.811 0.169526 1.17305 1.75957
-23.0904 -130.835 0 3.27877 4.91816
290.861 -129.861 0.673483 1.40644 2.10965
88.5322 -129.932 0.261565 3.80865 5.71297
-28.1093 -129.435 0.455344 0.738027 1.10704
42.6138 -127.41 1.59061 3.47818 5.21727
102.314 -127.214 1.27161 4.1852 6.2778
-28.4596 -126.405 0.129206 0.879787 1.31968
-172.391 -126.307 1.27577 3.56966 5.35449
121.886 -126.16 1.31992 3.27002 4.90502
-0.4146 -127.881 0 6.98925 10.4839
-69.0906 -124.766 0.157961 5.73426 8.60139
70.3108 -124.585 0 5.07663 7.61494
164.243 0.582 1.04388 1.16076 1.74115
139.842 16.581 0.40459 1.43669 2.15503
157.013 15.147 1.80127 1.01589 1.52383
-144.069 3.09 1.24033 2.66638 3.99956
294.118 3.623 0.664569 3.19014 4.78521
-65.2307 4.037 1.66585 4.76795 7.15193
163.906 3.982 2.26474 1.67613 2.5142
146.925 4.91 1.09295 1.09729 1.64593
190.187 7.287 0.365271 3.21698 4.82548
22.4542 7.791 0 4.03169 6.04753
315.883 8.913 0.512093 3.94544 5.91816
182.231 10.076 0.143364 4.30007 6.4501
39.252 10.135 0 6.85255 10.2788
152.224 11.561 2.28771 2.3461 3.51915
134.824 11.766 0.779186 1.70159 2.55239
263.52 12.489 0 1.14835 1.72252
135.82 28.017 0 2.20109 3.30164
-90.304 34.433 0 0.698104 1.04716
149.121 35.364 1.12971 0.586524 0.879786
336.087 31.127 0.0628144 2.57336 3.86005
217.618 31.592 0.759824 4.09518 6.14277
-97.1322 32.971 4.11089 1.42667 2.14001
-54.9873 32.285 0.832999 4.01387 6.02081
257.55 32.507 1.7771 1.78384 2.67577
143.9 33.503 1.23361 3.00027 4.5004
127.927 33.346 0.423133 4.56837 6.85255
-22.9381 35.412 0 6.71521 10.0728
289.401 36.287 0 3.61161 5.41742
231.547 33.679 1.61517 3.63535 5.45302
170.723 35.293 0.317067 2.19457 3.29186
155.146 36.372 0.421597 0.718343 1.07751
-154.961 36.695 0.353914 4.19204 6.28807
96.149 36.984 0.179777 4.35308 6.52961
223.045 39 0.722412 2.20109 3.30164
